Term	df	offset
00	1	0
000	3	1
007	1	4
015	1	5
1.25	1	6
1.50	1	7
10	12	8
100	3	20
101	1	23
11	1	24
12	2	25
120	1	27
1274	1	28
13	2	29
13th	1	31
14	2	32
15	2	34
16	2	36
17	1	38
17.38	1	39
18	4	40
1859	1	44
18th	2	45
1928	1	47
1939	2	48
1940s	1	50
1941	1	51
1942	1	52
1942/1986	1	53
1943	2	54
1944	1	56
1950s	3	57
1951	1	60
1954	1	61
1955	1	62
1957	2	63
1958	1	65
1960	1	66
1962	1	67
1963	1	68
1964	1	69
1965	2	70
1966	2	72
1967	2	74
1970	1	76
1971	2	77
1972	1	79
1973	1	80
1975	1	81
1976	1	82
1977	2	83
1978	1	85
1980	3	86
1980s	1	89
1981	1	90
1982	1	91
1983	1	92
1984	1	93
1985	8	94
1986	24	102
1987	116	126
1990	1	242
1st	1	243
2.0	1	244
2.00	1	245
2.10	1	246
2.11	1	247
2.5	2	248
2.50	1	250
20	6	251
2001	1	257
201	1	258
2010	1	259
2070	1	260
2077	1	261
209	2	262
209s	1	264
20th	1	265
22	1	266
2225	2	267
25	1	269
257	1	270
26	1	271
272	1	272
29	1	273
3.5	1	274
3.50	1	275
3.7	1	276
3/4	2	277
30	3	279
30s	3	282
31	1	285
32	1	286
38	1	287
4.00	1	288
4.50	2	289
4/+4	1	291
40	2	292
40s	1	294
45	1	295
457	1	296
47	1	297
48	1	298
4th	1	299
5.00	2	300
5.50	1	302
50	2	303
500	1	305
5000	1	306
50s	8	307
534	1	315
57	1	316
58	1	317
5996	1	318
5:00	1	319
60	1	320
600	1	321
606	1	322
60s	6	323
619	1	329
70	1	330
70s	1	331
714	1	332
72	1	333
725	1	334
80s	5	335
8781	1	340
90	3	341
919	2	344
92093	1	346
957	1	347
9620	1	348
967	2	349
98	2	351
9mm	1	353
abandon	5	354
abc	1	359
abel	1	360
abil	8	361
abl	11	369
abound	2	380
about	88	382
abov	120	470
abras	1	590
absolut	6	591
absorb	2	597
abstract	1	599
absurd	10	600
