Filename 	 Title 	 Reviewer 	 Snippet 	 Rate
 
0002.html	Hitcher, The (1986)	Mark R. Leeper	Capsule review: Boring actioner about a psychotic hitchhiker whom the scriptwriter makes unkillable. Contrived, unbelievable, and ultimately dull thriller is one more film to waste Rutger Hauer. Capsule review: Boring actioner about a psychotic hitchhiker whom the scriptwriter makes unkillable. Contrived, unbelievable, and ultimately dull thriller is one more film Hauer.	N
 

 
0003.html	Beyond Therapy (1987)	Steve Fritzinger	Set in the offices of two psychoanalysts, and in a very bad French restaurant, BEYOND THERAPY is a love story about two very confused people. Bruce (Jeff Goldblum) and Prudence (Julie Haggarty) meet through one of many personal ads Bruce has placed. They have a disastrous lunch, and leave expecting never to see one an other again.	P
 

 
0004.html	Angel Heart (1987)	Clark Quinn	Starring: Mickey Rourke, Robert DeNiro, Lisa Bonet, Charlotte Rampling Directed by: Alan Parker Produced by: Alan Marshall and Elliott Kastner Executive Producers: Mario Kassar and Andrew Vajna Screenplay by: Alan Parker From the novel: "Falling Angel" by William Hjortsberg Director of Photography: Michael Seresin I saw this movie at a special pre-release screening here at UCSD.	N
 

 
0005.html	Angel Heart (1987)	Mark R. Leeper	Harry Angel (played by Mickey Rourke) is a hard-boiled private eye in the Philip Marlowe tradition. He is a little crude, a little rude, and occasionally a little bit dense. His client is Louis Cyphre (played by Robert DeNiro), a recluse with a silver cane, pointed fingernails, and, like a cipher, is something of a mystery to be solved.	P
 

 
0006.html	Radio Days (1987)	Jeff Meyer	I've been a little lax in getting out movie reviews -- imagine that this is the time to get down to it.... It's been a Woody Allen kinda week. Went and saw RADIO DAYS on Sunday, and then HANNAH AND HER SISTERS (for the second time). I thought HANNAH was probably the best picture I saw last year, and my favorite Allen film (which is taking in a lot of territory).	P
 

 
0007.html	Nightmare on Elm Street 3: Dream Warriors, A (1987)	Craig Good	Yes, the inimitable Freddy Kroeger is back in NIGHTMARE ON ELM STREET PART III: THE DREAM WARRIORS. In addition to the awkward title the latest nightmare from Wes Craven has a few flaws. The Girl from the first film is back, and can't act her way through wet tissue. But her acting is so bad that it begins to grow on you by the end of the film.	N
 

 
0008.html	Nightmare on Elm Street 3: Dream Warriors, A (1987)	Sean L. Gilley	I really enjoyed the first of these three movies -- you never knew what was real and what was not, and you never knew what was going to happen. The idea of making the violence that happened in the dreams actually become real -- i.e. you get burned in a dream, the burn stays around in real life -- was the most compelling part of the film.	N
 

 
0009.html	Lethal Weapon (1987)	Steve Fritzinger	LETHAL WEAPON is a light-weight action thriller that quickly degenerates to an extremely stupid movie. While a detective whose name I don't remember is investigating the murder of a friend's daughter, he and his new partner, Riggs, a suicidal burned-out ex-Vietnam sniper, stumble onto a heroin ring. This movie is so loaded with cliches, ex-CIA men turned to crime, a tough looking guy holding his arm in a flame to prove his loyalty to Fearless Leader, kidnapped daughters, and so on, that there is no room left for any genuine suspense.	N
 

 
0010.html	Lethal Weapon (1987)	James Kawashima	This is a police thriller in the tradition of 48 HOURS and THE FRENCH CONNECTION. It's taut, well-executed, and not entirely predictable. It comes to us from Richard Donner, of SUPERMAN fame, who is noted for his interest in characterization and making the characters seem real and believable to the audience despite their often superhuman abilities.	N
 

 
0011.html	Bedroom Window, The (1987)	Mark R. Leeper	Capsule review: In the best film thriller I have seen in a while, Steve Guttenberg pretends to have witnessed a crime his paramour actually saw. Before long, he is swept into an ever-worsening vortex of trouble and danger. I recently gave a fairly negative review to an attempted nightmarish thriller, HITCHER.	P
 

 
0012.html	Belizaire the Cajun (1986)	Mark R. Leeper	Capsule review: Mark Twain-esque tale of murder and bigotry set in 1859 in Louisiana. Armand Assante plays a clever Cajun healer trying to protect his cousin and the whole Cajun community from local rednecks. This is an engrossing and enjoyable film that tells its story without any wrong moves. Recommended. Every once in a while, one of the cable stations runs what they call a "find."	P
 

 
0013.html	Hombre mirando al sudeste (1986)	Mark R. Leeper	Capsule review: A serious science fiction film from Argentina has a psychiatrist faced with a Christ-like patient who claims to be an alien. This is a film with a lot to say about psychiatry, hunger, charity, and religion. With that much to say it is, perhaps, over-ambitious. It does not do everything right but what is right is worth seeing.	P
 

 
0014.html	Tin Men (1987)	Mark R. Leeper	Capsule review: Chronicle of two aluminum-siding salesmen's personal and self-destructive feud is often very funny, sometimes serious, but always engrossing. This is a well-made comedy-drama by the director of DINER and THE NATURAL. Barry Levinson is quite a good director with films to his name like CATHOLICS, AND JUSTICE FOR NATURAL.	P
 

 
0016.html	Wizard of Oz, The (1939)	Evelyn C. Leeper	Most viewers see THE WIZARD OF OZ as merely a children's film, or as a fantasy that entertains without edifying. This is probably due to Baum's (and Fleming's) subtlety, since in reality the film is an intense philosophical statement. Consider for example Fleming's use of color. Reality, to Fleming, is drab and colorless; only the world of our dreams has life and color to it.	N
 

 
0017.html	Evil Dead II (1987)	Mark R. Leeper	Capsule review: There's more budget than logic to this stringing together of off-beat and semi-humorous horror scenes. Creative visual concepts abound and the pace is frenetic and that makes up for a multitude of sins. I guess in some sense THE EVIL DEAD II is the ultimate horror film...sort of...I guess.	P
 

 
0018.html	Raising Arizona (1987)	Peter Reiher	I was a big fan of Joel and Ethan Coen's first film, "Blood Simple." I'm not sure if it's accurate to say that their new film, "Raising Arizona," is precisely a disappointment, but it certainly isn't at all what I expected, and I didn't really like it. "Raising Arizona" is such a peculiar movie that I find it difficult to analyze my own feelings about it.	NA
 

 
0019.html	Raising Arizona (1987)	Mark R. Leeper	The Coen brothers have made another movie. Two years ago the then 29- year-old director Joel and the then 26-year-old producer Ethan made a superb story of murder and misunderstanding. BLOOD SIMPLE was a great first film and all the more amazing for having come from two unknowns. Joel had been editor on some low-budget horror films, the best known of which was THE EVIL DEAD; Ethan had no film experience.	P
 

 
0020.html	Raising Arizona (1987)	Jeff Meyer	Alright, new approach: I liked RAISING ARIZONA. Laughed throughout it. Wanted to write down quotes from it (this film has enough for three movie quizzes in it). Absolutely the best "zany" film to come along in two years, and the finest slapstick I've seen since THE GODS MUST BE CRAZY. But I came out realizing that I knew a lot of people who weren't going to like this.	NA
 

 
0021.html	Lethal Weapon (1987)	Jeff Meyer	LETHAL WEAPON tends to be one of those marginal, on-the-border films; its qualities and weaknesses are glaring, and tend to cancel one another out. The story, which is nothing special, centers on an aging family-man police detective (Danny Glover) who is saddled with a series of drug-related crimes and a new partner who is rumored to have a death wish (Mel Gibson).	N
 

 
0022.html	Hollywood Shuffle (1987)	Steve Fritzinger	With HOLLYWOOD SHUFFLE, first time writer/director Robert Townsend creates a very entertaining film. This good-natured parody of movie-making gets most of its laughs from gentle but well-aimed shots at the stereotypes connected to black actors and white film makers. Along the way HOLLYWOOD SHUFFLE takes time out to lampoon hard-boiled detectives, Eddie Murphy, TV movie critics and the rewards of stardom.	P
 

 
