DocI	tf
74	1
55	1
107	1
113	1
118	1
4	1
79	1
43	1
6	1
20	1
38	1
52	1
54	2
61	1
63	1
93	1
97	1
112	2
113	1
120	1
53	1
107	2
113	1
97	1
120	1
110	1
120	1
79	1
4	1
108	1
120	1
75	1
99	1
120	1
44	1
120	1
21	1
57	1
61	1
61	1
65	1
97	1
110	1
117	1
12	2
47	1
74	1
49	1
16	2
30	1
58	1
30	1
49	1
49	1
5	1
30	1
30	1
25	1
58	1
87	1
104	1
130	2
4	1
30	1
46	3
104	1
104	1
14	1
128	1
128	3
31	1
128	2
44	2
128	1
38	1
66	1
55	2
30	1
31	1
34	3
32	3
53	3
30	1
60	2
92	1
92	2
30	2
31	3
33	2
39	1
30	1
88	1
54	2
114	1
25	2
44	2
47	2
48	3
88	2
103	2
104	2
126	2
2	2
12	2
13	2
27	2
28	2
35	2
40	2
43	3
44	1
47	1
49	3
58	3
72	2
73	3
80	1
81	3
83	1
87	3
89	3
96	5
97	3
103	2
104	1
114	2
2	1
3	3
4	3
5	3
6	3
7	3
8	3
9	3
10	3
11	3
12	1
13	1
14	3
16	1
17	3
18	3
19	3
20	3
21	3
22	3
23	3
24	3
25	1
26	3
27	1
28	1
30	1
31	1
32	1
33	1
34	1
35	1
36	3
37	3
38	3
39	3
40	1
42	3
43	1
44	1
45	3
46	1
47	1
48	1
49	3
50	4
52	3
53	1
54	1
55	1
56	3
57	4
58	5
60	1
61	3
62	3
63	3
64	3
65	3
66	3
67	3
68	3
69	3
70	3
71	3
72	1
73	1
74	3
75	3
76	3
77	3
78	3
79	3
80	1
81	1
82	3
83	3
84	4
85	3
86	3
87	1
88	1
89	1
90	4
92	1
93	3
94	3
95	2
98	3
99	3
101	3
102	3
105	3
106	3
107	3
108	4
109	3
110	3
111	3
112	3
113	3
114	1
115	3
116	3
117	3
118	3
119	3
120	3
121	3
122	3
124	3
126	1
127	3
128	3
129	3
130	3
80	2
6	1
82	1
74	1
2	1
2	1
33	1
67	1
49	2
3	1
52	1
65	1
74	1
106	1
113	1
60	2
16	1
113	1
16	1
60	1
107	2
113	2
107	1
31	1
93	1
33	1
34	1
74	1
8	1
19	1
8	1
19	1
10	1
89	1
36	1
77	1
85	1
20	1
52	1
113	1
49	1
63	1
70	1
43	1
61	1
102	1
42	1
62	1
73	1
67	1
62	1
97	1
5	1
3	1
4	1
113	1
10	1
94	1
48	1
61	2
118	1
61	4
97	1
61	1
80	2
27	1
73	1
79	1
102	1
104	1
122	1
127	1
128	2
4	1
97	1
104	1
4	1
127	1
104	1
55	1
8	2
38	1
60	1
102	1
122	1
127	3
128	2
4	2
38	1
6	1
102	1
71	1
85	1
6	1
37	1
71	1
127	1
128	1
8	1
38	1
60	1
77	1
33	1
34	1
4	1
16	1
8	1
33	1
34	1
25	1
53	1
113	1
46	3
48	1
87	1
93	1
120	1
45	1
43	9
10	1
11	1
16	1
79	1
80	1
95	1
99	1
105	1
14	1
18	1
50	1
60	2
62	1
74	1
80	1
98	1
102	1
114	3
120	1
17	1
31	1
2	1
3	2
5	2
6	5
7	1
11	3
12	4
13	1
14	1
18	4
19	3
20	4
21	1
25	1
26	3
27	2
28	4
30	2
31	8
32	2
34	1
35	2
36	1
37	2
38	5
39	1
40	2
44	2
45	4
46	5
47	1
48	1
49	2
52	1
53	6
54	1
57	2
58	2
60	2
61	5
62	2
63	2
64	3
65	3
66	2
68	2
69	2
70	1
71	1
72	4
74	3
75	1
76	3
77	3
79	2
80	5
81	1
82	1
83	2
85	3
86	3
87	2
89	3
92	2
93	2
95	4
97	1
98	2
99	2
103	3
104	4
105	1
107	4
109	1
110	4
111	2
113	1
114	1
117	2
118	3
120	1
121	2
124	1
126	1
127	1
128	2
129	2
130	3
2	1
3	1
4	1
5	1
6	1
7	1
8	1
9	1
10	1
11	1
12	1
13	1
14	1
16	1
17	1
18	1
19	1
20	1
21	1
22	1
23	1
24	1
25	1
26	1
27	1
28	1
30	1
31	1
32	1
33	1
34	1
35	1
36	2
37	1
38	2
39	1
40	1
42	1
43	1
44	1
45	1
46	1
47	1
48	1
49	1
50	1
52	1
53	1
54	1
55	1
56	1
57	1
58	1
60	2
61	1
62	1
63	1
64	1
65	1
66	1
67	1
68	1
69	2
70	1
71	1
72	1
73	2
74	1
75	1
76	2
77	1
78	1
79	1
80	1
81	1
82	1
83	1
84	1
85	1
86	1
87	1
88	1
89	1
90	1
92	1
93	1
94	1
95	1
96	1
97	1
98	1
99	1
101	1
102	1
103	1
104	1
105	1
106	1
107	1
108	2
109	1
110	1
111	1
112	1
113	1
114	1
115	1
116	1
117	1
118	1
119	1
120	1
121	2
122	1
124	1
126	1
127	1
128	1
129	1
130	2
57	1
20	2
21	1
26	1
49	3
55	1
63	1
37	1
38	1
126	1
22	2
78	1
84	1
89	1
93	1
98	2
104	2
105	3
114	1
115	1
65	1
84	1
97	1
27	1
30	1
75	1
61	1
12	2
20	3
83	1
96	1
6	1
2	1
3	1
4	1
5	1
6	1
7	1
8	1
9	1
10	1
11	1
12	1
13	1
14	1
16	3
17	1
18	1
19	1
20	1
21	1
22	1
23	2
24	1
25	1
26	1
27	1
28	1
30	1
31	1
32	1
33	1
34	1
35	1
36	1
37	1
38	1
39	1
40	1
42	2
43	1
44	1
45	1
46	1
47	1
48	1
49	1
50	1
52	1
53	1
54	2
55	1
56	1
57	1
58	1
60	4
61	2
62	1
63	2
64	1
65	1
66	1
67	1
68	1
69	1
70	1
71	1
72	1
73	1
74	1
75	1
76	1
77	2
78	1
79	2
80	1
81	1
82	1
83	1
84	1
85	1
86	1
87	1
88	1
89	1
90	1
92	1
93	1
94	1
95	1
96	1
97	1
98	1
99	1
101	1
102	1
103	1
104	1
105	1
106	1
107	1
108	1
109	1
110	1
111	1
112	1
113	3
114	1
115	1
116	1
117	1
118	1
119	1
120	1
121	1
122	1
124	1
126	1
127	1
128	1
129	1
130	1
4	1
14	1
49	1
89	1
116	1
129	1
130	1
101	1
65	1
84	1
60	1
20	1
21	1
81	1
27	1
36	1
60	1
64	1
80	1
48	1
56	1
79	1
85	1
36	1
46	1
48	1
64	2
70	1
80	1
12	1
18	1
26	1
53	1
56	1
64	2
71	1
114	1
12	2
64	2
114	1
55	1
11	1
18	2
60	2
65	1
71	1
93	1
50	1
81	1
40	1
112	1
117	1
113	1
120	1
122	1
4	1
7	3
16	1
17	1
21	1
24	1
26	1
28	1
31	1
33	1
37	1
44	4
45	2
47	1
48	1
49	1
53	1
56	1
58	1
61	2
66	2
70	1
74	2
75	2
79	1
81	1
92	3
95	1
112	1
